brand,classification_pct,annotation_pct,total_diagrams,req_diagram_style,req_diagram_cleanup,req_titles_rephrased,req_irrelevant_removed,req_accuracy_verified,req_part_variant_l2
TOYOTA,71.53,68.40,144161,false,false,false,false,false,false
FORD,42.68,15.73,54382,false,false,false,false,false,false
NISSAN,34.15,24.74,113853,false,false,false,false,false,false
MAZDA,53.48,33.68,59186,false,false,false,false,false,false
VOLKSWAGEN,30.38,26.66,29977,false,false,false,false,false,false
HYUNDAI,33.72,36.52,61885,false,false,false,false,false,false
RENAULT,40.24,59.28,26051,false,false,false,false,false,false
LAND ROVER,24.60,17.59,3167,false,false,false,false,false,false
CHEVROLET,41.24,27.42,17003,false,false,false,false,false,false
CITROEN,31.62,32.35,22744,false,false,false,false,false,false
MERCEDES-BENZ,14.45,29.62,58582,false,false,false,false,false,false
JEEP,24.20,32.29,19488,false,false,false,false,false,false
DODGE,,27.68,16428,false,false,false,false,false,false
HOLDEN,39.20,45.00,3660,false,false,false,false,false,false
BMW,23.12,23.25,58879,false,false,false,false,false,false
VOLVO,24.36,24.47,23845,false,false,false,false,false,false
FIAT,32.36,72.87,3966,false,false,false,false,false,false
VAUXHALL,17.71,56.08,15892,false,false,false,false,false,false
PEUGEOT,37.54,47.40,21646,false,false,false,false,false,false
TESLA,44.93,80.00,1497,false,false,false,false,false,false
ISUZU,21.06,15.00,36569,false,false,false,false,false,false
MINI,22.63,38.00,8320,false,false,false,false,false,false
SEAT,32.82,22.00,6789,false,false,false,false,false,false
